"word","prob","type","xToN","xToV","xToA","xToP","xToO"
"his",0.0204397280159736,"other",1,0,0,0,0
"they",0.0166154788873189,"other",1,0,0,0,0
"her",0.0155043756976191,"other",1,0,0,0,0
"she",0.0147873289057201,"other",1,0,0,0,0
"or",0.014055135517651,"other",1,0,0,0,0
"an",0.00947925541189155,"other",1,0,0,0,0
"will",0.00739024270226141,"other",1,0,0,0,0
"my",0.00722510972167617,"other",1,0,0,0,0
"one",0.0058693210083279,"other",1,0,0,0,0
"all",0.00375278932210334,"other",1,0,0,0,0
"would",0.00370896247271425,"other",1,0,0,0,0
"there",0.00221843650499107,"other",1,0,0,0,0
"their",0.00112428683020592,"other",1,0,0,0,0
